country,territory
Cabo Verde,Cabo Verde
Nauru,Nauru
France,Saint Barthelemy
Israel,Israel
Syria,Syria
Spain,Canarias
France,Saint Martin
France,Réunion
Aruba,Aruba
Jordan,Jordan
Slovenia,Slovenia
Iraq,Iraq
Netherlands,Bonaire
Dominica,Dominica
France,Saint Pierre and Miquelon
Oman,Oman
United States,Guam
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Namibia,Namibia
Iceland,Iceland
Djibouti,Djibouti
Congo,Congo
France,French Southern Territories
Singapore,Singapore
Bosnia and Herzegovina,Bosnia and Herzegovina
Belgium,Belgium
United States,Northern Mariana Islands
United Kingdom,Falkland Islands
Saint Lucia,Saint Lucia
Netherlands,Curacao
Grenada,Grenada
Seychelles,Seychelles
United Kingdom,Montserrat
United Kingdom,Anguilla
Libya,Libya
United Kingdom,Bermuda
Palestinian Territory,Palestinian Territory
Comoros,Comoros
Côte d'Ivoire,Côte d'Ivoire
Bulgaria,Bulgaria
France,Wallis and Futuna
Somalia,Somalia
Netherlands,Sint Maarten
France,French Polynesia
Montenegro,Montenegro
Mauritius,Mauritius
Mauritania,Mauritania
Finland,Finland
United Kingdom,British Virgin Islands
Lithuania,Lithuania
Morocco,Morocco
Kuwait,Kuwait
France,Martinique
Peru,Peru
Timor-Leste,Timor-Leste
Eritrea,Eritrea
Saint Kitts and Nevis,Saint Kitts and Nevis
Trinidad and Tobago,Trinidad and Tobago
Georgia,Georgia
Algeria,Algeria
Malta,Malta
Norway,Norway
Cyprus,Cyprus
Liberia,Liberia
United States,US Virgin Islands
North Korea,North Korea
Barbados,Barbados
Brunei,Brunei
France,Guadeloupe
Equatorial Guinea,Equatorial Guinea
Albania,Albania
Palau,Palau
United Kingdom,Cayman Islands
Federated States of Micronesia,Federated States of Micronesia
Sweden,Sweden
Ireland,Ireland
Latvia,Latvia
Poland,Poland
Portugal,Portugal
Togo,Togo
Netherlands,Netherlands
Democratic Republic of the Congo,Democratic Republic of the Congo
Guyana,Guyana
Antigua and Barbuda,Antigua and Barbuda
South Korea,South Korea
Turkey,Turkey
Kiribati,Kiribati
Uruguay,Uruguay
El Salvador,El Salvador
Croatia,Croatia
Guatemala,Guatemala
Bahrain,Bahrain
United States,American Samoa
Costa Rica,Costa Rica
Kenya,Kenya
Estonia,Estonia
Saudi Arabia,Saudi Arabia
United States,United States Minor Outlying Islands
South Africa,South Africa
Chile,Chile
Pakistan,Pakistan
Marshall Islands,Marshall Islands
Germany,Germany
Solomon Islands,Solomon Islands
Greece,Greece
Dominican Republic,Dominican Republic
United Kingdom,Turks and Caicos Islands
Romania,Romania
United States,Puerto Rico
United Kingdom,United Kingdom
Samoa,Samoa
Gambia,Gambia
Japan,Japan
Suriname,Suriname
Haiti,Haiti
Cambodia,Cambodia
New Zealand,New Zealand
France,French Guiana
Angola,Angola
Jamaica,Jamaica
Fiji,Fiji
Tanzania,Tanzania
Vanuatu,Vanuatu
United Arab Emirates,United Arab Emirates
France,New Caledonia
France,Mayotte
Ecuador,Ecuador
Qatar,Qatar
China,China
Gabon,Gabon
Benin,Benin
Sri Lanka,Sri Lanka
Denmark,Denmark
France,France
Cameroon,Cameroon
Vietnam,Vietnam
Maldives,Maldives
Egypt,Egypt
Argentina,Argentina
Colombia,Colombia
Thailand,Thailand
Iran,Iran
Ghana,Ghana
Senegal,Senegal
Tonga,Tonga
Spain,Spain
Bahamas,Bahamas
Panama,Panama
Philippines,Philippines
Honduras,Honduras
India,India
Sudan,Sudan
Bangladesh,Bangladesh
Venezuela,Venezuela
Papua New Guinea,Papua New Guinea
Tunisia,Tunisia
Myanmar,Myanmar
Mozambique,Mozambique
Yemen,Yemen
Belize,Belize
Malaysia,Malaysia
Russia,Russia
Sierra Leone,Sierra Leone
Ukraine,Ukraine
Nicaragua,Nicaragua
Madagascar,Madagascar
Italy,Italy
Canada,Canada
Brazil,Brazil
Guinea,Guinea
Nigeria,Nigeria
Mexico,Mexico
Guinea-Bissau,Guinea-Bissau
Cuba,Cuba
Indonesia,Indonesia
United States,United States
Australia,Australia
