country,iso3c,habitat,area_ha
Albania,ALB,marsh,17847.35
American Samoa,ASM,mangrove,34.165391798854
American Samoa,ASM,marsh,0.1
Angola,AGO,mangrove,28720.595713680952
Anguilla,AIA,mangrove,3.929296883118
Antigua & Barbuda,ATG,mangrove,961.133078011182
Argentina,ARG,marsh,118870
Aruba,ABW,mangrove,45.689241246418995
Australia,AUS,mangrove,1108321.103910244
Australia,AUS,marsh,1325854
Bahamas,BHS,mangrove,183330.08992141156
Bahrain,BHR,mangrove,72.749965908538
Bangladesh,BGD,mangrove,524388.2099106458
Barbados,BRB,mangrove,11.496530502264
Belgium,BEL,marsh,17847.35
Belize,BLZ,mangrove,56719.1326278458
Benin,BEN,mangrove,2944.419974199578
Bermuda,BMU,mangrove,29.392035784791997
Brazil,BRA,mangrove,1169189.015248708
Brazil,BRA,marsh,9464.5
British Virgin Islands,VGB,mangrove,110.17610807045901
Brunei,BRN,mangrove,12779.225927440963
Bulgaria,BGR,marsh,17847.35
Cambodia,KHM,mangrove,64959.641755235585
Cameroon,CMR,mangrove,199517.7327255147
Canada,CAN,marsh,111274
Caribbean Netherlands,BES,mangrove,193.64890926632796
Cayman Islands,CYM,mangrove,5002.706410995059
Chile,CHL,marsh,9464.5
China,CHN,mangrove,24064.507797415197
China,CHN,marsh,549506
Colombia,COL,mangrove,283531.8442118247
Comoros,COM,mangrove,102.20616890506001
Congo - Brazzaville,COG,mangrove,2078.5813674767915
Congo - Kinshasa,COD,mangrove,24055.543681566964
Cook Islands,COK,mangrove,3.699812412843
Costa Rica,CRI,mangrove,38085.86548621934
Croatia,HRV,marsh,17847.35
Cuba,CUB,mangrove,410299.8918068596
Curaçao,CUW,mangrove,46.761467028892
Cyprus,CYP,marsh,17847.35
Côte d’Ivoire,CIV,mangrove,5425.303346177235
Denmark,DNK,marsh,17847.35
Djibouti,DJI,mangrove,745.8886792211571
Dominica,DMA,mangrove,1.588309413855
Dominican Republic,DOM,mangrove,21484.47325282506
Ecuador,ECU,mangrove,152903.51783825064
Egypt,EGY,mangrove,252.20917512132908
El Salvador,SLV,mangrove,36752.04131191678
Equatorial Guinea,GNQ,mangrove,25637.458129307066
Eritrea,ERI,mangrove,7889.580823614685
Estonia,EST,marsh,17847.35
Fiji,FJI,mangrove,53848.11221919758
Finland,FIN,marsh,17847.35
France,FRA,marsh,17847.35
French Guiana,GUF,mangrove,64518.18790298514
French Polynesia,PYF,mangrove,134.7149838171979
French Southern Territories,ATF,mangrove,789.661225842307
Gabon,GAB,mangrove,175601.79268477907
Gambia,GMB,mangrove,64445.4551029784
Germany,DEU,marsh,17847.35
Ghana,GHA,mangrove,18100.919793247383
Grenada,GRD,mangrove,202.91831877175895
Guadeloupe,GLP,mangrove,3733.303529467164
Guam,GUM,mangrove,55.54914410063301
Guam,GUM,marsh,4.1
Guatemala,GTM,mangrove,26684.61490981425
Guinea,GIN,mangrove,224482.32454857594
Guinea-Bissau,GNB,mangrove,283200.61655828817
Guyana,GUY,mangrove,27503.077951824893
Haiti,HTI,mangrove,16906.46678575353
Honduras,HND,mangrove,66827.79085465848
Iceland,ISL,marsh,2617
India,IND,mangrove,456072.0425028073
Indonesia,IDN,mangrove,2936406.0824032663
Iran,IRN,mangrove,12913.997638296458
Ireland,IRL,marsh,9889
Italy,ITA,marsh,17847.35
Jamaica,JAM,mangrove,10853.62508466509
Japan,JPN,mangrove,1252.1450550112165
Kenya,KEN,mangrove,54681.99226607773
Kiribati,KIR,mangrove,147.863832386487
Latvia,LVA,marsh,17847.35
Liberia,LBR,mangrove,18515.16879131626
Madagascar,MDG,mangrove,301912.95803503745
Madagascar,MDG,marsh,5810
Malaysia,MYS,mangrove,528356.6173545932
Maldives,MDV,mangrove,99.06609007197898
Marshall Islands,MHL,mangrove,33.087219724671
Martinique,MTQ,mangrove,2087.43616689882
Mauritania,MRT,mangrove,392.423770315168
Mauritius,MUS,mangrove,435.33605572518894
Mayotte,MYT,mangrove,691.8954877083922
Mexico,MEX,mangrove,1136864.6948854753
Mexico,MEX,marsh,272527
Micronesia (Federated States of),FSM,mangrove,8534.760645755263
Montenegro,MNE,marsh,17847.35
Mozambique,MOZ,mangrove,331937.4727192859
Myanmar (Burma),MMR,mangrove,578081.6444920149
Netherlands,NLD,marsh,17847.35
New Caledonia,NCL,mangrove,37689.60214969579
New Zealand,NZL,mangrove,45546.853054375795
New Zealand,NZL,marsh,19650
Nicaragua,NIC,mangrove,79029.36040351441
Nigeria,NGA,mangrove,851250.4886352002
Northern Mariana Islands,MNP,marsh,4.1
Oman,OMN,mangrove,152.76688894578297
Pakistan,PAK,mangrove,94268.19981278866
Palau,PLW,mangrove,5826.751730481021
Panama,PAN,mangrove,157123.43814304358
Papua New Guinea,PNG,mangrove,461251.79540446703
Peru,PER,mangrove,5488.433762767226
Peru,PER,marsh,9464.5
Philippines,PHL,mangrove,293825.90886020544
Portugal,PRT,marsh,17847.35
Puerto Rico,PRI,mangrove,9137.061799361827
Puerto Rico,PRI,marsh,2939.5
Qatar,QAT,mangrove,568.8260619218992
Romania,ROU,marsh,17847.35
Russia,RUS,marsh,700719
Samoa,WSM,mangrove,247.06526889287196
Saudi Arabia,SAU,mangrove,8121.957119267931
Senegal,SEN,mangrove,135104.3982035579
Seychelles,SYC,mangrove,394.48677474764975
Sierra Leone,SLE,mangrove,154814.58492974797
Singapore,SGP,mangrove,702.1106605959429
Sint Maarten,SXM,mangrove,7.143875726375999
Slovenia,SVN,marsh,17847.35
Solomon Islands,SLB,mangrove,54072.21354461971
Somalia,SOM,mangrove,3523.073699603304
South Africa,ZAF,mangrove,3520.818951597898
South Africa,ZAF,marsh,6147
Spain,ESP,marsh,17847.35
Sri Lanka,LKA,mangrove,18650.032182513045
St. Kitts & Nevis,KNA,mangrove,38.265992426858006
St. Lucia,LCA,mangrove,172.984817041361
St. Vincent & Grenadines,VCT,mangrove,34.45987186742299
Sudan,SDN,mangrove,786.6134512166258
Suriname,SUR,mangrove,82005.36220654362
Sweden,SWE,marsh,17847.35
São Tomé & Príncipe,STP,mangrove,48.71146914919401
Taiwan,TWN,mangrove,16.911102520030997
Tanzania,TZA,mangrove,112744.49958380149
Thailand,THA,mangrove,258986.5122571811
Timor-Leste,TLS,mangrove,1080.612596940832
Togo,TGO,mangrove,11.450688896537999
Tonga,TON,mangrove,1188.9787152677113
Trinidad & Tobago,TTO,mangrove,8521.511754931169
Turkey,TUR,marsh,17847.35
Turks & Caicos Islands,TCA,mangrove,17699.38090279422
Tuvalu,TUV,mangrove,9.145176771327
U.S. Virgin Islands,VIR,mangrove,288.32519500472085
U.S. Virgin Islands,VIR,marsh,2939.5
United Arab Emirates,ARE,mangrove,8996.642069629255
United Arab Emirates,ARE,marsh,4797
United Kingdom,GBR,marsh,81842
United States,USA,mangrove,285554.1737003304
United States,USA,marsh,1884893
Uruguay,URY,marsh,9464.5
Vanuatu,VUT,mangrove,1717.2812507353608
Venezuela,VEN,mangrove,296630.0752405226
Vietnam,VNM,mangrove,194288.69281249843
Wallis & Futuna,WLF,mangrove,31.188667269106
Yemen,YEM,mangrove,1671.7109001354333
